'      號
e9tr            正經
e9tx   下級
e9tx        下線
e9tx   從緩
e9u.     正對
e9u0 正道
e9u5    正義
e9uc  下卷
e9ui          從業
e9ui         正業
e9ui      下藥
e9uj         正朔
e9un 從前
e9uo          下落
e9uo        徙善
e9us      下半
e9uu    下葬
e9vc          下乘
e9vf         下種
e9vf          下垂
e9vn            下移
e9vn         征利
e9vq       正規
e9vq   正稅
e9w        下山
e9w           形上學
e9wg    下學
e9ww           下崗
e9x          政
e9x 下水
e9x.           下海
e9x.       下淚
e9x8        下酒
e9x;     正法
e9x;       從法
e9xf 下注
e9xg    下游
e9xj      下滑
e9xk          正派
e9xq       下流
e9xt 徒涉
e9xw           正凶
e9xw 逼上梁山
e9xx   從沒
e9y     焉
e9y      一跳
e9y,  徒勞
e9z            忑
e9zj          下情
e9zk       下懷
e;            融
e;.8    融資
e;.x       融冰
e;.y  融為
e;/           可以的
e;/1  可以的話
e;/;    魂魄
e;2     可以先
e;2h        可能造成
e;2i           歌台舞榭
e;5           戩
e;5       臹
e;6     雲門
e;6      可以將
e;6    可能將
e;7      可能因
e;7        可以由
e;7.            可能因為
e;7.1      可能因為這個
e;7.1       可能因為這樣而
e;7.d    可能因為是
e;78        融貫
e;79       可能因此
e;79h       可能因此而
e;;     晉
e;;            鄑
e;;           戩
e;;5            戩
e;;5     虺蜮
e;;d      晉
e;;p 鄑
e;a   融入
e;a          可能會
e;a02        可能會發生
e;a23            可能會失敗
e;a2h 可能會造成
e;a7  可能會因
e;a79       可能會因此
e;a; 可以休矣
e;ac        融化
e;ad     融會
e;aed    可能會遭遇
e;aee      可能會遭到
e;ah.   可能會成為
e;ahr          可能會成功
e;amh            可能會完成
e;ao         融合
e;b      可以了
e;b0            融通
e;c            天蠍座
e;d            晉
e;d       可能是
e;d     天蠍星
e;d.b   可能是為了
e;d1i   可能是這樣
e;d7. 可能是因為
e;e 可以到
e;e7.            可能正因為
e;e;         云云
e;e;           魂魂
e;e;          融融
e;e;       虺虺
e;ex   云爾
e;f     至
e;f     致
e;f        臻
e;f            郅
e;f     臸
e;f        臹
e;f5            臹
e;f6     後台老闆
e;ff          臸
e;fn          到
e;fp     郅
e;fv   臻
e;fx  致
e;g    可以把
e;h.          可能成為
e;k  可以就
e;m 雲雨
e;m5        可能實現
e;m5 可以實現
e;ma            魂靈
e;n    到
e;n2   融解
e;o 一台
e;p          郅
e;p 鄑
e;r;     至矣盡矣
e;s            可以在
e;un          融券
e;v         臻
e;vo  融和
e;w          形態學
e;x           致
e;x0            融液
e;xo          融洽
e;z       可能性
ea           兩
ea. 彾
ea.      一付
ea.            丙方
ea.a     兩次
ea/    復健系
ea/.   丙等
ea/0          兩邊
ea/0      歌筵
ea0    徵信錄
ea0  頭份鎮
ea03w          得人錢財，與人消災
ea1          一介
ea19       更進一步
ea1a      救人一命
ea1aj    救人一命，勝造七級浮屠
ea1c     兩訖
ea1d       歌譜
ea1f          歌誦
ea1f       從何說起
ea1o       歌詞
ea1w            歌謠
ea1x       歌詠
ea2           一件
ea20         兩造
ea22  歌舞
ea22 兩年
ea226     惡人先告狀
ea2p         後會無期
ea4   徻
ea4d          徻
ea4o           兩點
ea5          一代
ea5          一任
ea5     歌王
ea6           武俠片
ea75       兩國
ea7a          救命恩人
ea7b          融會貫通
ea7u 歌曲
ea8          兩米
ea8    一領
ea80        歌迷
ea88         歌頌
ea88           兩類
ea8b        兩合公司
ea8g        丙醇
ea8o    丙酮
ea9            從
ea9        行人路
ea9 下侖路
ea9 下倫路
ea9     元化路
ea9   正信路
ea9        行仁路
ea9   行信路
ea;e           從今以後
eaa          從
eaa 慫
eaa       聳
eaa   熧
eaa 兩人
eaa           下價貨
eaa   平價貨
eaa       致命傷
eaa       徵集令
eaa   殯儀館
eaa/         兩伊
eaa1         天人合一
eaa2         兩件
eaa5   兩代
eaa9  從
eaacj          得饒人處且饒人
eaad   兩會
eaaf           兩全
eaai   兩條
eaai     歌集
eaak            兩位
eaam   救命仙丹
eaan          兩份
eaan        兩側
eaao     兩個
eaao         兩合
eaao        兩倍
eaap   聳
eaau      行俠仗義
eaax     兩隻
eaax   兩雙
eaax  兩便
eaay         熧
eaaz     慫
eab          彾
eab           下條子
eab.          彾
eab8          兩翼
eac     可信度
eac         惡作劇
eac       歌仔戲
eac8       兩廣
eace        待人處事
eace            哥倫比亞
eacn         歌劇
eacx  兩度
eacz         歌廳
ead       徻
ead  一會
eade          歌星
eadp  下個星期
eae        從今後
eae       武仁街
eae            武信街
eae     天倫街
eae9   兩下
eae9r       行人徒步區
eaea  求仁得仁
eaed 兩晉
eaee        從今往後
eaej          兩行
eaej    兩可
eaej     歌行
eaev     兩天
eaf  可倫坡
eafa        求全責備
eafc         兩地
eafd       兩者
eafe  歌壇
eafhm      專任教師室
eafj 逗人喜愛
eafp           歌聲
eag          歌手
eag   兩手
eag2          待人接物
eagc       兩把
eagm     亞伯拉罕
eah         徵信所
eah1p          死傷不計其數
eahd 兩百
eahle         求人不如求己
eahp     兩面
eahx           兩段
eahx       待價而沽
eai    徐
eai           一條
eai4 兩欄
eaie   兩極
eaie    兩本
eaie         歌本
eaii 歌林
eail            兩棲
eaix          兩樣
eaj         下個月
eaj0        兩腿
eajp         兩腳
eajx   兩股
eajz 兩腮
eak            一位
eak    兩立
eak          可人意
eak 徵信社
eak.         兩旁
eak/      天倫之樂
eak1     兩端
eak      正合適
eak6           頭條新聞
eaka     天作之合
eakf      平價市場
eakp    兩部
eaku  待人之道
eakv      下個禮拜
eakw       求全之毀
eakz          兩意
eal          歌女
ealx  歌妓
eam            副作用
eam        後備軍
eam,   兩家
eam6 兩軍
eama        後備軍人
eamf     兩用
eamh      殊途同歸
eamm    聳入雲霄
eamo      兩周
ean         一份
ean       一例
ean   一側
ean      平假名
eano      兩名
eano   歌名
eao     一個
eao     副食品
eaod            歌唱
eaok          遭人唾棄
eaov           歌喉
eaow       從做中學
eaoz    平價中心
eap      聳
eap          副會長
eap6      聳人聽聞
eapu 兩全其美
ear8         兩項
earb 正人君子
eare        正修工專
eark            兩張
eark         天仁工商
earu   事倍功半
earue      正修工業專科學校
earuk          天仁工業商業職業學校
earw/ 復健醫學系
eas    哥倫布
easd   更僕難數
easf         兩難
easp          後會有期
eat1   武俠小說
eate            兩組
eau 一併
eau         行人道
eau0   兩道
eav            兩大
eav/d        更傳奇的是
eav1  兩千
eav8 兩頰
eavf     兩種
eavf           丙種
eavk          正合我意
eavn    兩利
eavp     兩套
eavp       逼人太甚
eaw  待會兒
eawq         歌兒
eaws           兩岸
eax        一隻
eax           一雙
eax           更何況
eaxj           兩湖
eaxr        兩江
eaxv    兩漢
eay     熧
eay1          丙烯
eayq            丙烷
eaz   慫
eaz            一念
eaz     很傷心
eaze          兩性
eb      丐
eb.           彴
eb/   戒子篇
eb0       一通
eb1       一句話
eb4    下了點
eb62            天子門生
eb8 一翼
eba         副司令
ebaa     戎馬倥傯
ebao      政務人員
ebav    政通人和
ebb  彶
ebb          亞馬遜
ebb8f        亞馬遜盆地
ebbx     亞馬遜河
ebc           一包
ebd        徇
ebe    與
ebe         亟
ebe 与
ebe9          戒驕戒躁
ebeb         徒子徒孫
ebem  天馬行空
ebg           一子
ebh       下馬威
ebh        事務局
ebh           事務所
ebio 事務機器
ebka  事務主任
ebm      政務官
ebm       事務官
ebm          事務用
ebo            亟
ebo 一句
ebo  事務員
eboe        亟
ebr      很勇敢
ebsr           惡習難改
ebt      未了緣
ebtax    死馬當做活馬醫
ebtxb 死馬當活馬醫
ebvk      融通利率
ebvo      政務委員
ebx 攷
ebz           互通性
ebz    未了情
ebz  事務性
ec       麗
ec,           很瘋狂
ec..    死於
ec/.   死的
ec/. 死等
ec/;  死鬼
ec/p 死節
ec/s   魂飛魄散
ec19    武慶一路
ec1c           死記
ec1e           正康一街
ec1s    死訊
ec2     致癌物
ec29          武慶二路
ec2e    正康二街
ec39      武慶三路
ec3e   正康三街
ec43    死罪
ec4e      正康四街
ec4l        死要
ec5i      微處理機
ec5o          微處理器
ec7a        死囚
ec7v   死因
ec8           一頓
ec8     一氣
ec9     後庄路
ec9j  死背
ec9o     死路
ec;           井底蛙
eca            死人
eca          麗人
eca1      政府會計
ecap  死命
ecbf   天氣預報
ecbj       死了
ece,     死勁
ece          豆腐干
ece    正氣歌
ece  天底下
ece        武慶街
ece           正氣街
ecec        死死
ecen          死刑
eceu          豌豆
ecex     死後
ecf 一座
ecf 一塵
ecf   死士
ecf;    死去
ecfc        死地
ecfd           死者
ecfu            豆腐青菜
ecgb         頑皮搗蛋
ecgs        死掉
ech   頭皮屑
ech8        麗質
echc       死屍
eci      一床
eci       循序檔
eci3  死相
eci5         死機
ecij   死皮賴臉
ecix    死板
ecj           豆腐乳
eck1      死神
eck7       天府之國
eck;      井底之蛙
eckjl         政府補助收益
eckl    死亡
eckx 死敵
ecm       政府軍
ecm.    死守
ecm8        死穴
ecm9           死定
ecmx 死寂
ecn     一切
ecn     死角
ecn9          鳶飛魚躍
eco5        死戰
ecoh     逐鹿中原
econ 死別
ecoz    死忠
ecp       歌劇院
ecp            副廠長
ecp   副處長
ecpj      死期
ecq      一處
ecqx       死硬
ecre  頭痛醫頭
ecrej     頭痛醫頭，腳痛醫腳
ecs            平底鞋
ecs         豆腐乾
ecsc 死巷
ecsf       死在
ecsf           死難
ecsx      死友
ecsy    死灰
ect4          死黨
ect7            死當
ectf        死纏
ecto   死結
ectq 死光
ecu      很痛苦
ecu5  死義
ecue        井底觀天
ecun          死前
ecv1          爾虞我詐
ecw   麗山
ecx      彼
ecx   死水
ecx           麗水
ecx.         死海
ecx    一度
ecxa            循序漸進
ecxo           死活
ecxs         麗澤
ecxx           徹底澄清
ecxx   死氣沉沉
ecz         死心
ecz 一應
ecz   可比性
ecz     很痛心
ecz     很癡情
eczh            兩廂情願
eczk      頑廉懦立
ed  豬
ed,f          豬玀
ed.            專
ed.         得
ed.           磚
ed.    一時
ed.v   曹族
ed/p    殉節
ed/p  徇節
ed/u         豬血
ed0            後照鏡
ed0p;         衛星發射台
ed0pf       衛星發射塔
ed1e       復明一街
ed1l       晉謁
ed22        豬年
ed2e      復明二街
ed2s            行易知難
ed33            頭暈目眩
ed3e           復明三街
ed3q         晉見
ed3u         頭暈眼花
ed4e     復明四街
ed6 微晶片
ed6g         衛星轉播
ed6u 衛星軌道
ed7. 正是因為
ed7.1          正是因為這樣
ed7.l        正是因為如此
ed75    殉國
ed75            晉國
ed7c        豬圈
ed8     一顆
ed8;      豬公
ed9          徥
ed9         後昌路
ed9u  衛星頻道
ed;        專
ed;      惠
ed; 磚
ed;.  專
ed;     鄟
ed;           剸
ed;h           鷒
ed;n         剸
ed;p          鄟
ed;z          惠
ed;        鷒
eda        忁
eda 到時候
eda   劃時代
eda5 晉代
edac          麗晶飯店
edag    豬仔
edag 衛星傳播
edao        豬舍
edcu           豬瘟
edcx   豬皮
ede         得
ede           甦
ede           徥
ede   一旦
ede 天曉得
ede           武昌街
ede        晉昌街
ede.   得
ede1h            武昌街一段
ede2 衡量得失
ede2h   武昌街二段
ede8    豬頭
ede9         徥
eded          從早到晚
edej  豬哥
edf  衛星城
edf.   晉封
edfne   亞里士多德的形而上學
edfu        專題報導
edfu      武昌起義
edfva  天時地利人和
edfx           殉教
edgi 曹操
edgj     衛星探月
edgx         晉授
edh 鷒
edha    平易近人
edhee        可遇不可求
edhf1           後果不堪設想
edhk     形影不離
edi  一昧
edio         形影相吊
edip    形影相隨
edj.  晉爵
edjf           豬肚
edjj       頭暈腦脹
edjl           豬腰
edjp         豬腳
edjs            豬肝
edkc      平旦之氣
edke          德明商專
edkto   復旦高級中學
edkue      德明商業專科學校
edl9         正是如此
edm       得
edma        豬肉
edma            衛星定位
edma/       衛星定位系統
edmf         晉用
edmk     衛星電視
edn 剸
edno  殉名
edo           一晌
edo       遭遇戰
edow    復旦中學
edp   郠
edp    鄟
edp      殉身
edp     晉身
edp5      殉職
edpf      晉陞
edpne            亞里斯多德
edpt      豬鬃
edqe  天星碼頭
edra     下里巴人
eds    一早
edsf           殉難
edsf       徇難
edsg  衛星直播
edsj      晉朝
edtm           烈日當空
edtx    晉級
edu./        衛星導航系統
edu0    殉道
edu5          徇義
eduu   殉葬
edv;           徇私
edvac          麗晶大飯店
edvw      復旦大學
edwa  忁
edwq    豬兒
edx   更
edx    甦
edx      郠
edxc 麗晶酒店
edxe      甦
edxp 郠
edxr  晉江
edxs           豬油
edz         惠
edzj 殉情
edzj            徇情
ee        二
ee,         刑事犯
ee,    死刑犯
ee,4       刑事犯罪
ee,h           得天獨厚
ee.     一得
ee.            三方
ee..            亞於
ee.8          天下為公
ee.a       二次
ee.a       三次
ee.d 遭到冷遇
ee.v          三族
ee/         可惡的
ee/.     二等
ee/1       天下第一
ee/1g     天下第一才子
ee/5        三皇
ee/5          行政管理
ee/e 可得箭頭
ee/f   二筆
ee/f         三筆
ee0            一遭
ee00         二鍵
ee00       三鍵
ee05         三鐵
ee0a        正式發佈
ee0f       正式發表
ee0k        亞銀
ee0o 亞鉛
ee1            井
ee11     亓
ee11         行政訴訟
ee11      刑事訴訟
ee11x    刑事訴訟法
ee18          二讀
ee18    三讀
ee2       衙
ee21      後天失調
ee22      二年
ee22  三年
ee2a        天下無雙
ee2e 三牲
ee2j   衙
ee2k  彷徨無主
ee2k       天下無敵
ee2se   天下無難事
ee2y     天干物燥
ee2yt            天干物燥，小心火燭
ee3n            亟盼
ee40          三遷
ee49      德行西路
ee49      後勁西路
ee4o   二點
ee4o       三點
ee5         武
ee5            貳
ee5        三王
ee6 正式版
ee66          三輔
ee6ax   行列輸入法
ee6l  正式開始
ee6l          從頭開始
ee6r 三輕
ee75      三國
ee7f       二壘
ee7f     三壘
ee7o     二回
ee7o   三回
ee7z        三思
ee8   頑
ee8        一頭
ee8         三八
ee8/    三弟
ee88        二類
ee88        三類
ee8;      三公
ee8a     亟欲
ee8e    甦醒
ee8n    二分
ee8n 三分
ee8p           二爺
ee8s  得未曾有
ee9            武
ee9        征
ee9       鵡
ee9            虣
ee9            一下
ee9         形式上
ee9         武德路
ee9       後平路
ee9       後勁路
ee9  德正路
ee95  武
ee99         後勁北路
ee9b   頂頭上司
ee9h      鵡
ee9k           三餐
ee9o   二路
ee9o    三路
ee9q            虣
ee;     云
ee;         魂
ee;        很可能
ee;2h     很可能造成
ee;6        很可能將
ee;;            魂
ee;a          很可能會
ee;d        很可能是
ee;g     很可能把
ee;h.     很可能成為
ee;k           很可能就
ee;o  二台
ee;o    三台
ee;s         很可能有
ee;z            三態
eea            一兩
eea       形式化
eea       求求您
eea            往往會
eea. 二傳
eea           求求你
eea1    二信
eea1          三信
eea5           二代
eea5    三代
eeaa    行政命令
eeaa        式式俱全
eeadp      下下個星期
eeah         天從人願
eeai            二條
eeai  三條
eeaj          下下個月
eeak         二位
eeak  三位
eeakv           下下個禮拜
eeam          正式使用
eeao     二個
eeao           三個
eeao         二倍
eeao      三倍
eeao     三合
eeao        行政人員
eearb           天行健，君子以自強不息
eeat    互惠條約
eeau        亞倫
eeau            二侖
eeavd  惡事傳千里
eeay       三焦
eeb         行得通
eeb  得到了
eeb   遭到了
eeb0         三通
eeb1        正式承認
eeb2         正式通知
eeb2         正式通告
eebc  三孔
eec       一死
eec8     行政處分
eec8   懲戒處分
eec8           刑事處分
eeci       亞麻
eed      二日
eed     三日
eed   往往是
eede           三星
eedi      三昧
eedp          下下星期
eedu    頭頭是道
eee         三
eee 行
eee 貳
eee       很可惡
eee.       二專
eee.           三專
eee.0         亟待
eee/         行列式
eee1       哥德式
eee2       天下事
eee3         武德街
eee4           行政街
eee5 德惠街
eee5          貳
eee5     三戒
eee6          惠德街
eeea         從井救人
eeeb 行政干預
eeeh        徹頭徹尾
eeeh    從頭至尾
eeeh            從頭到尾
eeej     行
eeej          二哥
eeej    三哥
eeej       二街
eeej         三街
eeej        亞衛
eeeq  二元
eeeq            三元
eeev  二天
eeev          三天
eeex    三更
eeex          可歌可泣
eef           一再
eef         一律
eef 很可喜
eef 深水埗
eef/d       更可喜的是
eefc        二地
eefc            三地
eefd         二者
eefd  三者
eefd      行政裁量
eefdi      行政裁量權
eefe  正式執行
eefp  二聲
eefp       三聲
eefx            三教
eeg    二手
eeg.          二寸
eeg.      三寸
eeg/     三才
eeg/     正式接管
eeg6 遭到打擊
eega  救死扶傷
eega     遭到拋售
eegee      後下手遭殃
eegg  正式接手
eegh        遭到打壓
eegk 三振
eeh     鵡
eeh   行政局
eeh       聳聳肩
eeh       行事曆
eeh.  正式成為
eeh3      未可厚非
eeh5            二成
eeh5    三成
eeh;       求死不能
eehc        殭屍
eehd           二百
eehd     三百
eehe      彳亍而行
eehk         正式成立
eeho          二局
eeho        三局
eehp           從天而降
eehr1     天下烏鴉一般黑
eehu       徘徊不前
eehv        正式啟動
eehw 二屆
eehw         三屆
eehw   三島
eehx            二段
eehx   三段
eehx         三夏
eehx       至死不渝
eehz       至死不悟
eei        到頭來
eei     微型機
eei         懲戒權
eei     划得來
eei         行政權
eei0    亞述
eei2e      天下本無事
eei6    行政機關
eei9  三楚
eei9      德行東路
eei9   後勁東路
eeia          二來
eeid        亞東
eeie  二極
eeif     二棒
eeif            三棒
eeii        二林
eeii  元元本本
eeik   二根
eeik       三根
eeil    二樓
eeil          三樓
eeix   二校
eeix        三校
eej   行
eej            衙
eej    亍
eej  衎
eej   一事
eej          一行
eej     一街
eej    很可愛
eej      二頭肌
eek   晉惠帝
eek/   下下之策
eekf       頂天立地
eekj       三育
eeko 亞裔
eektr      正德高級工業商業職業學校
eeku        形式主義
eekv 下下禮拜
eel      衙
eel 徑
eela       事到如今
eelb         二媽
eele    二姐
eele       二姓
eelr        徑
eels      徵求女友
eelw    從惡如崩
eelx     二嫂
eely 三災
eem         貳
eem        下下週
eem,      三家
eem0  亞運
eem1          亟需
eem2   行政體制
eem4    往往需要
eem6            三軍
eem6         亞軍
eema   刑事案件
eemm    平平安安
een 刓
een            一列
een        一到
een 一副
een         三角
eenc        三色
eenc  後天免疫
eenf     三鮮
eenn  三多
eenn         形形色色
eeo  殊死戰
eeoe         後勁中街
eeoq       二號
eeoq     三號
eeov   三吳
eep       邧
eep       行政院
eep/ 三陽
eep5      亞聖
eeph      死得其所
eepj          二期
eepj           三期
eepm9      行政院同步幅射研究中心
eepp           行政院長
eepup           行政院蕭院長
eeq  元
eeq         頑
eeq            刓
eeq   邧
eeq        黿
eeq         虣
eeq   一元
eeq   頂頭風
eeq   衝天砲
eeq8     頑
eeqn         刓
eeqp           邧
eeqq      平平凡凡
eeqr      黿
eer         徑
eer       黿
eer  行政區
eer5         三民
eere   死到臨頭
eere           事到臨頭
eerf   行政區域
eerf,       哥德巴赫猜想
eerk        正德工商
eert  三弦
ees    衎
ees   一干
ees         很天真
ees8            二黃
ees9  後勁南路
eesa           井井有條
eesh   街頭巷尾
eesj            衎
eesj  二胡
eesx          三友
eet           示
eet    平行線
eet    很平常
eet    很惡劣
eet            很正經
eet3         三省
eet7    亞當
eetd       正式結果
eetf         二維
eetf      三維
eetf        行政總裁
eeti           正式結束
eetq           三光
eett         正正當當
eetw    三綱
eetx 二級
eetx      三級
eetz           三總
eeu       一盞
eeu 形式美
eeu1    循循善誘
eeu5       三義
eeu5       三藏
eeugj      豬往前拱，雞往後扒
eeuk      三芝
eeum  刑事警察
eeumh        刑事警察局
eeuo            殂落
eeuso 天下英雄，唯使君與操耳
eeuu  懲惡勸善
eeux      三菱
eev         魂
eev      一天
eev           三大
eev.        亞太
eevc            三毛
eeve      天下太平
eevf       二種
eevf     三種
eevf       三重
eevj        天下大亂
eevk  彼得大帝
eevx    三泰
eevy  三秋
eew       行政學
eew6e     行行出狀元
eewa  三峽
eex     一役
eex  一致
eex            二水
eex         三水
eex           天可汗
eex       行政法
eex1     亞洲
eex3        三湘
eexb    三灣
eexf     三洋
eexp  行政法院
eexq        二流
eexq           三流
eexr  三江
eexs/          天下沒有白吃的午餐
eexsh    天下沒有不散的筵席
eez  二心
eez  可行性
eez           後天性
eez    很可怕
eez         很可憐
eez/d         更可恨的是
ef   型
ef, 惡勢力
ef,          下地獄
ef,c       再犯
ef,o          再加
ef.    待
ef.           一封
ef.           平埔族
ef..    至於
ef.a       再次
ef.c         再施
ef.y           至為
ef/         一場
ef/      可喜的
ef/           很坦白
ef/c  型範
ef/e         行遠自邇
ef/i  至樂
ef/o         再向
ef/o  元素符號
ef0w           型鋼
ef0x   型錄
ef1         至言
ef1.         律詩
ef15     再試
ef15      至誠
ef16            未達一間
ef19         致遠一路
ef1f      再講
ef1fm    平地一聲雷
ef1j            再請
ef1j            釐訂
ef1q         再說
ef1y      再談
ef20       再造
ef22     往年
ef29        致遠二路
ef2e        再生
ef2e       往生
ef2k        未老先衰
ef39  致遠三路
ef3q         再見
ef4   下載點
ef40    往還
ef48 再買
ef4l      再要
ef4l           至要
ef5f            至理
ef5q 再現
ef6.        再將
ef6b   再闖
ef6x  再版
ef7s      再由
ef8      釐米
ef8.     至尊
ef8;       至公
ef8r            列土分疆
ef8y 再醮
ef9   徒
ef9    一走
ef9            下坡路
ef9         干城路
ef9      求志路
ef9   致遠路
ef91h     致遠路一段
ef92h            致遠路二段
ef93h    致遠路三段
ef9c        至此
ef9c       往北
ef9e  至上
ef9e          往上
ef9ja    天增歲月人增壽
ef;  一去
ef;  一塊
ef;a     再以
ef;z      型態
efa    至人
efa           平均值
efa.         律令
efa1         政教合一
efab      至今
efac           亞都飯店
efad  再會
efae  下塔悠街
efan         再創
efan            再偷
efan       往例
efax     再做
efb            下去了
efb    下載了
efb           到達了
efbc           再也
efc          一地
efc  一起
efc          徐志摩
efcx     再度
efd          至日
efd       往日
efd      平均數
efd            或者是
efd.    往時
efe        拜
efe 可喜可賀
efe        後埔街
efe     干城街
efe5     型式
efe9   往下
efe9         釐正
efea  平起平坐
efec      至死
efee  再三
efef     往往
efei        可執行檔
efej            往事
efej    再行
efen 再到
efex            往後
efex 往復
efez            至德
eff       拜
eff   街
eff          一堆
eff  死翹翹
eff;    再去
effc      再起
effd 再者
efff 下載地址
effg   至孝
effi    平均地權
effj         街
effqx    平地起風波
efg       待
efg     副教授
efg.    待
efg9           再提
efgc        再把
efgj      再打
efgl          再按
efgo       往哲
efh           未達成
efh0           往返
efh0       至遲
efh1           律師
efh9     再不
efhm       天地不容
efhw            往屆
efi    列表機
efia 再來
efia      往來
efie      至極
efim  下載檔案
efj   街
efk 很幸福
efk7       至福
efko 至高
efko    天壤之別
efkq       至親
efks       天地玄黃
efku          平均主義
efkv 後起之秀
efkx            至交
efkz         至意
efl      型女
efl,    再嫁
efld          再婚
eflg 至好
eflo       至如
efm    列表窗
efm        很老實
efm   很幸運
efm0   再過
efm7       再審
efm8 至寶
efm9 釐定
efmf          再用
efmk          頭城家商
efmpf      元素週期表
efmt      律宗
efnn       再多
efnn          至多
efo          一趟
efo        下載中
efon     型別
efoq      型號
efp        一聲
efp    元老院
efp   可增長
efp5   至聖
efp5            往聖
efpp           再聊
efqx         平地風波
efr    下載區
efr;       死者已矣
efrc       律己
efre     元培醫專
efreg            元培醫事技術專科學校
efs         亞熱帶
efs         副熱帶
efs          雲嘉南
efs1    未達共識
efsa    天地有仁
efsd      往昔
efsj      再有
efsl          再世
efso 往右
efsr   往左
efss  往南
efsx    至友
eft  頭城鄉
eft/ 至少
eft1       往常
eft7         至當
efu     武士道
efu          衛城道
efun 往前
efuo       至善
efuo  至若
efv 至大
efv3 再看
efvac            亞都大飯店
efve    下載程式
efvgv       元培科技大學
efw   死老鼠
efww         再出
efx;     律法
efxi 至深
efxi  死去活來
efxj          釐清
efxk        再漲
efz       至心
efze        至性
efzj        至情
eg 於
eg   于
eg,            一拋
eg.       一寸
eg/     很搞笑
eg0      迂
eg0g2            未攤銷損失
eg0rm  未攤銷費用
eg1   一掃
eg3           一排
eg6   一揮
eg68  于闐
eg7z          于思
eg9        一提
ega   再換個
ega        後援會
ega0      劃撥儲金
egah          得寸進尺
egc      一批
egc     一把
egc          一捲
egc1  于飛
egcn        徒擁虛名
egcu         列提頓道
egd 一指
ege         下拉式
ege         可攜式
egeau           可攜式作業系統
egeh   再接再厲
egeh  再接再勵
egf 一推
egf         一攤
eggar         未指撥保留盈餘
eggg          救援投手
egh.        德拉威州
egh1  于歸
eghb       兩把刷子
egi         一捆
egix    天才橫溢
egj       一打
egk        一拉
egk          再提高
egkbw        哥打京那峇魯市
egkbw           哥打京那峇魯路
egm           盂
egm1     徒托空言
egmg            徒手體操
egmh     天打雷劈
egmu      盂
ego          一招
ego 劃撥單
egoz      救援中心
egp         邘
egs            一摔
egt 一摞
egt0h 可持續發展
egtz         可持續性
egtz0    可持續性發展
egu         盂
egua          德才兼備
egwn  哥打峇魯
egwnk          哥打峇魯市
egx     一撮
egz   很擔心
eh      鵡
eh.    專屬於
eh.a           下不為例
eh/            律師節
eh0          一遍
eh1            徲
eh1   一所
eh1       很感謝
eh1           正所謂：
eh12         徲
eh1g  很不順手
eh1i         可否詳述
eh2       徲
eh2  未成年
eh2            殊不知
eh2           徵兵制
eh2n   死而無怨
eh2z 死而無憾
eh3        循
eh33           死不瞑目
eh36           殘兵敗將
eh4j     死不要臉
eh7       平面圖
eh7e          行不由徑
eh8       頑
eh8  一頁
eh8a          律師公會
eh9 形而上
eh9      後厝路
eh9f1   形而上者謂之道，形而下者謂之器
eh9u  微不足道
eh9w       形而上學
eh9z 死不足惜
eha,        互不侵犯
eha,a          互不侵犯條約
eha2           得不償失
ehb          一扇
ehb        形成了
ehb       行不通
ehb    下不了
ehb;      下不了台
ehc            元
ehc          頑
ehc      刓
ehc          邧
ehd      一百
ehd  一層
ehd      可不是
ehdfu        行百里者半九十
ehe 徦
ehe  行不行
ehe   行不得
ehe    形而下
ehe 待不到
ehe      得不到
ehe2    麗質天生
ehe6k           得不可開交
ehe7        行成于思
ehe;            可不可以
eheb      行不得也
ehebe     行不得也哥哥
ehebh  律師事務所
ehee      行遍天下
eher      逼不得已
eher 死而後已
ehex   徦
ehex      死而復活
ehf     很不幸
ehf     下不去
ehf/        很不幸的
ehf/d           更不幸的是
ehfm  行屍走肉
ehh   頂瓜瓜
ehh   形成層
ehha         死而不僵
ehhc    殘而不廢
ehhr        惠而不費
ehi          下不來
ehi    划不來
ehi1         互不相讓
ehj   頑
ehj3    鳶肩豺目
ehk  未成熟
ehkh          後顧之憂
ehkto      後壁高級中學
ehley   救兵如救火
ehlk            妻不如妾，妾不如偷
ehlm          平面媒體
ehm         遍
ehm           天后宮
ehma  魂不守舍
eho  一局
ehow           後壁中學
ehp   一面
ehp           可成長
ehp         副所長
ehpm     魂不附體
ehq       頭尾碼
ehr/d    更成功的是
ehrn 行不改名，坐不改姓
ehs           循
ehs3        循
eht 後壁鄉
eht     頭屋鄉
ehta  平面幾何
ehu 遍
ehv           很感動
ehvxx 戈壁大沙漠
ehw            一屆
ehwv          亞歷山大
ehwvv   亞歷山大大帝
ehwvx   亞歷山大港
ehx          徦
ehx          一反
ehx     一段
ehx        很感激
ehxt          德厚流光
ehzfh     天不怕地不怕
ei 未
ei            末
ei,x         未獲
ei.          術
ei.   殊方
ei.1            徐州
ei.j         術
ei/       行李箱
ei/p     末節
ei15        末議
ei19      復橫一路
ei1f       未詳
ei2  犛
ei20  末造
ei22 末年
ei29 復橫二路
ei2o     未知
ei3      雲林縣
ei38    未具
ei3q  未見
ei55          平板玻璃
ei6    行李車
ei6as          亞東關係協會
ei78       殊異
ei8     兩棲類
ei8d      未曾
ei9            一杯
ei9        下橫路
ei9          頂橫路
ei9o       末路
ei9t           徐步
ei;c            未能
eia         徠
eia         斄
eia     一來
eia         得標人
eia.            未付
eia     兩極化
eia5     末代
eiaa           徠
eiak  末位
